root@comp3134-winter2023:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:01.585742 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 144255700:144255808, ack 3544078045, win 501, length 108
20:32:01.718523 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 176060:176216, ack 109, win 501, length 156
20:32:01.718575 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 176216:176372, ack 109, win 501, length 156
20:32:01.718684 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 176372:176528, ack 109, win 501, length 156
20:32:01.718743 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 176528:176684, ack 109, win 501, length 156
20:32:01.718813 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 176684:176840, ack 109, win 501, length 156
20:32:01.718889 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 176840:176996, ack 109, win 501, length 156
20:32:01.718942 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 176996:177152, ack 109, win 501, length 156
20:32:01.718993 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 177152:177308, ack 109, win 501, length 156
20:32:01.719045 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 177308:177464, ack 109, win 501, length 156
20:32:01.719096 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 177464:177620, ack 109, win 501, length 156
20:32:01.720620 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 171848, win 512, length 0
20:32:01.720621 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 174188, win 512, length 0
20:32:01.720621 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 175280, win 508, length 0
20:32:01.720676 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 177620:177776, ack 109, win 501, length 156
20:32:01.720811 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 176996, win 512, length 0
20:32:01.720911 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 177776:178340, ack 109, win 501, length 564
20:32:01.720978 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 178340:178496, ack 109, win 501, length 156
20:32:01.721030 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 178496:178652, ack 109, win 501, length 156
20:32:01.721153 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 178652:178808, ack 109, win 501, length 156
20:32:01.721208 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 178808:178964, ack 109, win 501, length 156
20:32:01.721260 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 178964:179120, ack 109, win 501, length 156
20:32:01.721313 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 179120:179276, ack 109, win 501, length 156
20:32:01.721373 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 179276:179432, ack 109, win 501, length 156
20:32:01.721427 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 179432:179588, ack 109, win 501, length 156
20:32:01.721577 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 179588:179744, ack 109, win 501, length 156
20:32:01.721693 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 179744:179900, ack 109, win 501, length 156
20:32:01.721757 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 179900:180056, ack 109, win 501, length 156
20:32:01.721814 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 180056:180212, ack 109, win 501, length 156
20:32:01.721871 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 180212:180368, ack 109, win 501, length 156
20:32:01.721921 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 180368:180524, ack 109, win 501, length 156
20:32:01.721963 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 180524:180680, ack 109, win 501, length 156
20:32:01.722010 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 180680:180836, ack 109, win 501, length 156
20:32:01.722243 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 177620, win 510, length 0
20:32:01.722472 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 180836:181096, ack 109, win 501, length 260
20:32:01.722545 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 181096:181252, ack 109, win 501, length 156
20:32:01.722604 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 181252:181408, ack 109, win 501, length 156
20:32:01.722658 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 181408:181564, ack 109, win 501, length 156
20:32:01.722939 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 181564:181720, ack 109, win 501, length 156
20:32:01.723001 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 181720:181876, ack 109, win 501, length 156
20:32:01.723042 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 181876:182032, ack 109, win 501, length 156
20:32:01.723081 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 182032:182188, ack 109, win 501, length 156
20:32:01.723120 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 182188:182344, ack 109, win 501, length 156
20:32:01.723157 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 182344:182500, ack 109, win 501, length 156
20:32:01.723194 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 182500:182656, ack 109, win 501, length 156
20:32:01.723232 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 182656:182812, ack 109, win 501, length 156
20:32:01.723281 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 182812:182968, ack 109, win 501, length 156
20:32:01.723333 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 182968:183124, ack 109, win 501, length 156
20:32:01.723381 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 183124:183280, ack 109, win 501, length 156
20:32:01.723615 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 183280:183436, ack 109, win 501, length 156
20:32:01.723672 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 183436:183592, ack 109, win 501, length 156
20:32:01.723715 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 183592:183748, ack 109, win 501, length 156
20:32:01.724170 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 179900, win 512, length 0
20:32:01.724170 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 180836, win 509, length 0
20:32:01.724211 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 183748:183904, ack 109, win 501, length 156
20:32:01.724476 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 183904:184268, ack 109, win 501, length 364
20:32:01.724534 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 184268:184424, ack 109, win 501, length 156
20:32:01.724585 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 184424:184580, ack 109, win 501, length 156
20:32:01.724722 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 184580:184736, ack 109, win 501, length 156
20:32:01.724792 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 184736:184892, ack 109, win 501, length 156
20:32:01.724840 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 184892:185048, ack 109, win 501, length 156
20:32:01.724892 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 185048:185204, ack 109, win 501, length 156
20:32:01.724940 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 185204:185360, ack 109, win 501, length 156
20:32:01.725003 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 185360:185516, ack 109, win 501, length 156
20:32:01.725052 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 185516:185672, ack 109, win 501, length 156
20:32:01.725102 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 185672:185828, ack 109, win 501, length 156
20:32:01.725151 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 185828:185984, ack 109, win 501, length 156
20:32:01.725201 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 185984:186140, ack 109, win 501, length 156
20:32:01.725251 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 186140:186296, ack 109, win 501, length 156
20:32:01.725311 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 186296:186452, ack 109, win 501, length 156
20:32:01.725509 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 186452:186608, ack 109, win 501, length 156
20:32:01.725589 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 186608:186764, ack 109, win 501, length 156
20:32:01.725770 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 186764:186920, ack 109, win 501, length 156
20:32:01.725895 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 186920:187076, ack 109, win 501, length 156
20:32:01.725954 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 187076:187232, ack 109, win 501, length 156
20:32:01.727155 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 181408, win 512, length 0
20:32:01.727155 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 183592, win 512, length 0
20:32:01.727155 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 183904, win 511, length 0
20:32:01.727205 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 187232:187388, ack 109, win 501, length 156
20:32:01.727542 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 187388:187856, ack 109, win 501, length 468
20:32:01.727604 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 187856:188012, ack 109, win 501, length 156
20:32:01.727735 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 184892, win 512, length 0
20:32:01.727760 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 188012:188168, ack 109, win 501, length 156
20:32:01.727834 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 188168:188428, ack 109, win 501, length 260
20:32:01.727977 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 187076, win 512, length 0
20:32:01.728021 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 188428:188584, ack 109, win 501, length 156
20:32:01.728155 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 188584:188844, ack 109, win 501, length 260
20:32:01.728211 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 188844:189000, ack 109, win 501, length 156
20:32:01.728274 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 189000:189156, ack 109, win 501, length 156
20:32:01.728932 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 189156:189312, ack 109, win 501, length 156
20:32:01.729115 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 189312:189468, ack 109, win 501, length 156
20:32:01.729455 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 189468:189624, ack 109, win 501, length 156
20:32:01.729568 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 189624:189780, ack 109, win 501, length 156
20:32:01.729661 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 189780:189936, ack 109, win 501, length 156
20:32:01.729854 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 189936:190092, ack 109, win 501, length 156
20:32:01.729929 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 190092:190248, ack 109, win 501, length 156
20:32:01.729984 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 190248:190404, ack 109, win 501, length 156
20:32:01.730023 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 187388, win 511, length 0
20:32:01.730280 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 190404:190664, ack 109, win 501, length 260
20:32:01.730337 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 190664:190820, ack 109, win 501, length 156
20:32:01.731366 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 190820:190976, ack 109, win 501, length 156
20:32:01.731534 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 190976:191132, ack 109, win 501, length 156
20:32:01.731601 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 191132:191288, ack 109, win 501, length 156
20:32:01.731623 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 188428, win 512, length 0
20:32:01.731701 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 191288:191548, ack 109, win 501, length 260
20:32:01.731756 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 191548:191704, ack 109, win 501, length 156
20:32:01.731808 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 191704:191860, ack 109, win 501, length 156
20:32:01.731858 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 191860:192016, ack 109, win 501, length 156
20:32:01.732031 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 189000, win 510, length 0
20:32:01.732045 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 192016:192172, ack 109, win 501, length 156
20:32:01.732120 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 192172:192432, ack 109, win 501, length 260
20:32:01.732173 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 192432:192588, ack 109, win 501, length 156
20:32:01.732225 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 192588:192744, ack 109, win 501, length 156
20:32:01.732275 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 192744:192900, ack 109, win 501, length 156
20:32:01.732328 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 192900:193056, ack 109, win 501, length 156
20:32:01.732378 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 193056:193212, ack 109, win 501, length 156
20:32:01.732431 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 193212:193368, ack 109, win 501, length 156
20:32:01.732498 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 193368:193524, ack 109, win 501, length 156
20:32:01.732567 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 193524:193680, ack 109, win 501, length 156
20:32:01.732628 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 193680:193836, ack 109, win 501, length 156
20:32:01.732690 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 193836:193992, ack 109, win 501, length 156
20:32:01.732742 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 193992:194148, ack 109, win 501, length 156
20:32:01.732796 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 194148:194304, ack 109, win 501, length 156
20:32:01.732846 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 194304:194460, ack 109, win 501, length 156
20:32:01.732900 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 194460:194616, ack 109, win 501, length 156
20:32:01.732952 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 194616:194772, ack 109, win 501, length 156
20:32:01.733005 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 194772:194928, ack 109, win 501, length 156
20:32:01.733057 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 194928:195084, ack 109, win 501, length 156
20:32:01.733109 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 195084:195240, ack 109, win 501, length 156
20:32:01.733164 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 195240:195396, ack 109, win 501, length 156
20:32:01.733216 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 195396:195552, ack 109, win 501, length 156
20:32:01.733267 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 195552:195708, ack 109, win 501, length 156
20:32:01.733584 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 190976, win 512, length 0
20:32:01.733631 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 195708:195864, ack 109, win 501, length 156
20:32:01.733795 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 195864:196124, ack 109, win 501, length 260
20:32:01.733865 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 196124:196280, ack 109, win 501, length 156
20:32:01.733931 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 196280:196436, ack 109, win 501, length 156
20:32:01.734020 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 196436:196592, ack 109, win 501, length 156
20:32:01.734322 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 196592:196748, ack 109, win 501, length 156
20:32:01.734387 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 196748:196904, ack 109, win 501, length 156
20:32:01.734521 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 196904:197060, ack 109, win 501, length 156
20:32:01.734541 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 191860, win 509, length 0
20:32:01.734662 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 197060:197320, ack 109, win 501, length 260
20:32:01.734927 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 193212, win 512, length 0
20:32:01.734966 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 197320:197476, ack 109, win 501, length 156
20:32:01.735110 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 197476:197736, ack 109, win 501, length 260
20:32:01.735175 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 197736:197892, ack 109, win 501, length 156
20:32:01.735231 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 197892:198048, ack 109, win 501, length 156
20:32:01.735283 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 198048:198204, ack 109, win 501, length 156
20:32:01.736678 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 195708, win 512, length 0
20:32:01.736742 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 198204:198360, ack 109, win 501, length 156
20:32:01.736788 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 197320, win 512, length 0
20:32:01.736932 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 198360:198724, ack 109, win 501, length 364
20:32:01.737034 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 198724:198880, ack 109, win 501, length 156
20:32:01.737281 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 198880:199036, ack 109, win 501, length 156
20:32:01.737444 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 199036:199192, ack 109, win 501, length 156
20:32:01.737509 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 199192:199348, ack 109, win 501, length 156
20:32:01.737575 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 199348:199504, ack 109, win 501, length 156
20:32:01.737627 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 199504:199660, ack 109, win 501, length 156
20:32:01.737681 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 199660:199816, ack 109, win 501, length 156
20:32:01.737735 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 199816:199972, ack 109, win 501, length 156
20:32:01.738883 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 198048, win 510, length 0
20:32:01.738981 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 199972:200128, ack 109, win 501, length 156
20:32:01.739165 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 199036, win 512, length 0
20:32:01.739287 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 200128:200492, ack 109, win 501, length 364
20:32:01.739369 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 200492:200648, ack 109, win 501, length 156
20:32:01.739429 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 200648:200804, ack 109, win 501, length 156
20:32:01.739483 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 200804:200960, ack 109, win 501, length 156
20:32:01.739551 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 200960:201116, ack 109, win 501, length 156
20:32:01.739627 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 201116:201272, ack 109, win 501, length 156
20:32:01.739684 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 201272:201428, ack 109, win 501, length 156
20:32:01.739737 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 201428:201584, ack 109, win 501, length 156
20:32:01.739787 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 201584:201740, ack 109, win 501, length 156
20:32:01.739840 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 201740:201896, ack 109, win 501, length 156
20:32:01.739893 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 201896:202052, ack 109, win 501, length 156
20:32:01.739965 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 202052:202208, ack 109, win 501, length 156
20:32:01.740340 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 202208:202364, ack 109, win 501, length 156
20:32:01.740381 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 199660, win 510, length 0
20:32:01.740502 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 202364:202624, ack 109, win 501, length 260
20:32:01.740585 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 202624:202780, ack 109, win 501, length 156
20:32:01.740629 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 202780:202936, ack 109, win 501, length 156
20:32:01.740704 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 202936:203092, ack 109, win 501, length 156
20:32:01.740761 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 203092:203248, ack 109, win 501, length 156
20:32:01.740816 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 203248:203404, ack 109, win 501, length 156
20:32:01.740867 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 203404:203560, ack 109, win 501, length 156
20:32:01.741213 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 203560:203716, ack 109, win 501, length 156
20:32:01.741347 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 203716:203872, ack 109, win 501, length 156
20:32:01.741423 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 203872:204028, ack 109, win 501, length 156
20:32:01.741731 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 204028:204184, ack 109, win 501, length 156
20:32:01.741939 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 204184:204340, ack 109, win 501, length 156
20:32:01.742354 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 204340:204496, ack 109, win 501, length 156
20:32:01.742590 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 204496:204652, ack 109, win 501, length 156
20:32:01.742699 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 204652:204808, ack 109, win 501, length 156
20:32:01.742796 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 204808:204964, ack 109, win 501, length 156
20:32:01.742868 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 201272, win 512, length 0
20:32:01.742911 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 201896, win 510, length 0
20:32:01.742979 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 204964:205328, ack 109, win 501, length 364
20:32:01.743089 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 205328:205484, ack 109, win 501, length 156
20:32:01.743135 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 202052, win 509, length 0
20:32:01.743172 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 205484:205744, ack 109, win 501, length 260
20:32:01.743211 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 205744:205900, ack 109, win 501, length 156
20:32:01.743249 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 205900:206056, ack 109, win 501, length 156
20:32:01.743286 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 206056:206212, ack 109, win 501, length 156
20:32:01.743437 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 206212:206368, ack 109, win 501, length 156
20:32:01.743545 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 206368:206524, ack 109, win 501, length 156
20:32:01.743593 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 206524:206680, ack 109, win 501, length 156
20:32:01.744029 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 206680:206836, ack 109, win 501, length 156
20:32:01.744340 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 206836:206992, ack 109, win 501, length 156
20:32:01.744461 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 206992:207148, ack 109, win 501, length 156
20:32:01.744540 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 207148:207304, ack 109, win 501, length 156
20:32:01.744599 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 207304:207460, ack 109, win 501, length 156
20:32:01.744655 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 207460:207616, ack 109, win 501, length 156
20:32:01.745010 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 204808, win 512, length 0
20:32:01.745050 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 207616:207772, ack 109, win 501, length 156
20:32:01.745158 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 207772:208032, ack 109, win 501, length 260
20:32:01.745307 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 208032:208188, ack 109, win 501, length 156
20:32:01.745409 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 208188:208344, ack 109, win 501, length 156
20:32:01.745494 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 208344:208500, ack 109, win 501, length 156
20:32:01.745712 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 206056, win 508, length 0
20:32:01.745790 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 208500:208656, ack 109, win 501, length 156
20:32:01.745856 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 208656:208916, ack 109, win 501, length 260
