root@comp3134-winter2023:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:36.070942 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 148262244:148262352, ack 3544080981, win 501, length 108
20:32:36.161266 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 176152:176316, ack 73, win 501, length 164
20:32:36.161320 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 176316:176480, ack 73, win 501, length 164
20:32:36.161335 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 170860, win 512, length 0
20:32:36.161476 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 176480:176748, ack 73, win 501, length 268
20:32:36.161543 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 176748:176912, ack 73, win 501, length 164
20:32:36.161619 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 173812, win 512, length 0
20:32:36.161673 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 176912:177076, ack 73, win 501, length 164
20:32:36.161733 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 177076:177224, ack 73, win 501, length 148
20:32:36.161757 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 177224:177388, ack 73, win 501, length 164
20:32:36.161834 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 177388:177680, ack 73, win 501, length 292
20:32:36.161914 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 177680:177844, ack 73, win 501, length 164
20:32:36.161993 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 177844:178008, ack 73, win 501, length 164
20:32:36.162056 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 178008:178172, ack 73, win 501, length 164
20:32:36.162113 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 178172:178336, ack 73, win 501, length 164
20:32:36.162185 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 178336:178500, ack 73, win 501, length 164
20:32:36.162248 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 178500:178664, ack 73, win 501, length 164
20:32:36.162305 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 178664:178828, ack 73, win 501, length 164
20:32:36.162365 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 178828:178992, ack 73, win 501, length 164
20:32:36.162603 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 178992:179156, ack 73, win 501, length 164
20:32:36.162682 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 179156:179320, ack 73, win 501, length 164
20:32:36.162745 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 179320:179484, ack 73, win 501, length 164
20:32:36.162803 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 179484:179648, ack 73, win 501, length 164
20:32:36.162890 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 179648:179812, ack 73, win 501, length 164
20:32:36.162952 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 179812:179976, ack 73, win 501, length 164
20:32:36.163011 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 179976:180140, ack 73, win 501, length 164
20:32:36.163087 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 180140:180304, ack 73, win 501, length 164
20:32:36.163153 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 180304:180468, ack 73, win 501, length 164
20:32:36.163213 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 180468:180632, ack 73, win 501, length 164
20:32:36.163274 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 180632:180796, ack 73, win 501, length 164
20:32:36.163334 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 180796:180960, ack 73, win 501, length 164
20:32:36.163392 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 180960:181124, ack 73, win 501, length 164
20:32:36.163450 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 181124:181288, ack 73, win 501, length 164
20:32:36.163542 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 181288:181452, ack 73, win 501, length 164
20:32:36.163620 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 181452:181616, ack 73, win 501, length 164
20:32:36.163755 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 174244, win 511, length 0
20:32:36.163797 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 181616:181780, ack 73, win 501, length 164
20:32:36.163829 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [P.], seq 73:109, ack 174244, win 511, length 36
20:32:36.163830 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 176316, win 512, length 0
20:32:36.163874 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 177680, win 512, length 0
20:32:36.164034 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 181780:182392, ack 109, win 501, length 612
20:32:36.164104 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 182392:182556, ack 109, win 501, length 164
20:32:36.164161 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 182556:182720, ack 109, win 501, length 164
20:32:36.164316 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 182720:182884, ack 109, win 501, length 164
20:32:36.164443 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 182884:183048, ack 109, win 501, length 164
20:32:36.164523 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 183048:183212, ack 109, win 501, length 164
20:32:36.164579 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 183212:183376, ack 109, win 501, length 164
20:32:36.164633 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 183376:183540, ack 109, win 501, length 164
20:32:36.164683 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 183540:183704, ack 109, win 501, length 164
20:32:36.164734 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 183704:183868, ack 109, win 501, length 164
20:32:36.164785 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 183868:184032, ack 109, win 501, length 164
20:32:36.164940 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 184032:184196, ack 109, win 501, length 164
20:32:36.165061 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 184196:184360, ack 109, win 501, length 164
20:32:36.165126 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 184360:184524, ack 109, win 501, length 164
20:32:36.165179 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 184524:184688, ack 109, win 501, length 164
20:32:36.165233 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 184688:184852, ack 109, win 501, length 164
20:32:36.165284 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 184852:185016, ack 109, win 501, length 164
20:32:36.165335 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 185016:185180, ack 109, win 501, length 164
20:32:36.165401 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 185180:185344, ack 109, win 501, length 164
20:32:36.165451 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 185344:185508, ack 109, win 501, length 164
20:32:36.165466 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 180960, win 512, length 0
20:32:36.165547 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 185508:185784, ack 109, win 501, length 276
20:32:36.165602 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 185784:185948, ack 109, win 501, length 164
20:32:36.165652 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 185948:186112, ack 109, win 501, length 164
20:32:36.165692 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 186112:186276, ack 109, win 501, length 164
20:32:36.165729 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 186276:186440, ack 109, win 501, length 164
20:32:36.165764 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 181780, win 509, length 0
20:32:36.165795 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 186440:186604, ack 109, win 501, length 164
20:32:36.165830 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 186604:186752, ack 109, win 501, length 148
20:32:36.165869 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 186752:187044, ack 109, win 501, length 292
20:32:36.165909 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 187044:187208, ack 109, win 501, length 164
20:32:36.165946 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 187208:187372, ack 109, win 501, length 164
20:32:36.165990 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 187372:187536, ack 109, win 501, length 164
20:32:36.166056 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 187536:187700, ack 109, win 501, length 164
20:32:36.166110 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 187700:187864, ack 109, win 501, length 164
20:32:36.166167 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 187864:188028, ack 109, win 501, length 164
20:32:36.166206 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 188028:188192, ack 109, win 501, length 164
20:32:36.166244 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 188192:188356, ack 109, win 501, length 164
20:32:36.166280 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 188356:188520, ack 109, win 501, length 164
20:32:36.166318 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 188520:188684, ack 109, win 501, length 164
20:32:36.166389 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 188684:188848, ack 109, win 501, length 164
20:32:36.166682 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 188848:189012, ack 109, win 501, length 164
20:32:36.166728 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 189012:189176, ack 109, win 501, length 164
20:32:36.166768 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 189176:189340, ack 109, win 501, length 164
20:32:36.166806 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 189340:189504, ack 109, win 501, length 164
20:32:36.166862 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 189504:189668, ack 109, win 501, length 164
20:32:36.166901 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 189668:189832, ack 109, win 501, length 164
20:32:36.166940 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 189832:189996, ack 109, win 501, length 164
20:32:36.166987 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 189996:190160, ack 109, win 501, length 164
20:32:36.167040 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 190160:190324, ack 109, win 501, length 164
20:32:36.168234 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 182884, win 512, length 0
20:32:36.168234 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 185508, win 512, length 0
20:32:36.168234 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 188028, win 512, length 0
20:32:36.168281 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 190324:190488, ack 109, win 501, length 164
20:32:36.168322 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 188848, win 509, length 0
20:32:36.168482 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 190488:191084, ack 109, win 501, length 596
20:32:36.168532 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 191084:191248, ack 109, win 501, length 164
20:32:36.168577 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 191248:191412, ack 109, win 501, length 164
20:32:36.168618 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 191412:191576, ack 109, win 501, length 164
20:32:36.168664 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 191576:191740, ack 109, win 501, length 164
20:32:36.168734 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 191740:191904, ack 109, win 501, length 164
20:32:36.168786 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 191904:192068, ack 109, win 501, length 164
20:32:36.168918 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 192068:192232, ack 109, win 501, length 164
20:32:36.168969 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 192232:192396, ack 109, win 501, length 164
20:32:36.169020 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 192396:192560, ack 109, win 501, length 164
20:32:36.169138 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 192560:192724, ack 109, win 501, length 164
20:32:36.169188 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 192724:192888, ack 109, win 501, length 164
20:32:36.169226 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 192888:193052, ack 109, win 501, length 164
20:32:36.169263 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 193052:193216, ack 109, win 501, length 164
20:32:36.169919 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 190324, win 512, length 0
20:32:36.169955 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 193216:193380, ack 109, win 501, length 164
20:32:36.170082 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 193380:193656, ack 109, win 501, length 276
20:32:36.170129 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 193656:193820, ack 109, win 501, length 164
20:32:36.170198 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 193820:193984, ack 109, win 501, length 164
20:32:36.170247 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 193984:194148, ack 109, win 501, length 164
20:32:36.170335 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 194148:194312, ack 109, win 501, length 164
20:32:36.170656 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 194312:194476, ack 109, win 501, length 164
20:32:36.170734 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 194476:194640, ack 109, win 501, length 164
20:32:36.170792 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 194640:194804, ack 109, win 501, length 164
20:32:36.170872 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 194804:194968, ack 109, win 501, length 164
20:32:36.170925 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 194968:195132, ack 109, win 501, length 164
20:32:36.170979 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 195132:195296, ack 109, win 501, length 164
20:32:36.171029 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 195296:195460, ack 109, win 501, length 164
20:32:36.171079 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 195460:195624, ack 109, win 501, length 164
20:32:36.171127 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 195624:195788, ack 109, win 501, length 164
20:32:36.171176 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 195788:195952, ack 109, win 501, length 164
20:32:36.171225 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 195952:196116, ack 109, win 501, length 164
20:32:36.171274 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 196116:196280, ack 109, win 501, length 164
20:32:36.171323 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 196280:196444, ack 109, win 501, length 164
20:32:36.171372 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 196444:196608, ack 109, win 501, length 164
20:32:36.171602 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 196608:196772, ack 109, win 501, length 164
20:32:36.171774 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 196772:196936, ack 109, win 501, length 164
20:32:36.172443 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 196936:197100, ack 109, win 501, length 164
20:32:36.172536 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 197100:197264, ack 109, win 501, length 164
20:32:36.172589 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 197264:197428, ack 109, win 501, length 164
20:32:36.172636 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 197428:197592, ack 109, win 501, length 164
20:32:36.172685 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 197592:197756, ack 109, win 501, length 164
20:32:36.172734 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 197756:197920, ack 109, win 501, length 164
20:32:36.172779 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 197920:198084, ack 109, win 501, length 164
20:32:36.172824 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 198084:198248, ack 109, win 501, length 164
20:32:36.172872 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 198248:198412, ack 109, win 501, length 164
20:32:36.172947 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 198412:198576, ack 109, win 501, length 164
20:32:36.172990 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 198576:198740, ack 109, win 501, length 164
20:32:36.173027 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 198740:198904, ack 109, win 501, length 164
20:32:36.173065 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 198904:199068, ack 109, win 501, length 164
20:32:36.173109 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 193052, win 512, length 0
20:32:36.173109 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 194312, win 507, length 0
20:32:36.173176 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 199068:199232, ack 109, win 501, length 164
20:32:36.173206 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 199232:199484, ack 109, win 501, length 252
20:32:36.173254 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 199484:199776, ack 109, win 501, length 292
20:32:36.173295 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 199776:199940, ack 109, win 501, length 164
20:32:36.173332 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 199940:200104, ack 109, win 501, length 164
20:32:36.173369 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 200104:200268, ack 109, win 501, length 164
20:32:36.173405 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 200268:200432, ack 109, win 501, length 164
20:32:36.173442 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 200432:200596, ack 109, win 501, length 164
20:32:36.173479 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 200596:200760, ack 109, win 501, length 164
20:32:36.173517 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 200760:200924, ack 109, win 501, length 164
20:32:36.173553 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 200924:201088, ack 109, win 501, length 164
20:32:36.173590 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 201088:201252, ack 109, win 501, length 164
20:32:36.173626 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 201252:201416, ack 109, win 501, length 164
20:32:36.173663 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 201416:201580, ack 109, win 501, length 164
20:32:36.173700 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 201580:201744, ack 109, win 501, length 164
20:32:36.173737 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 201744:201908, ack 109, win 501, length 164
20:32:36.173772 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 195296, win 512, length 0
20:32:36.173814 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 201908:202072, ack 109, win 501, length 164
20:32:36.173876 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 202072:202384, ack 109, win 501, length 312
20:32:36.173935 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 202384:202548, ack 109, win 501, length 164
20:32:36.173988 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 202548:202712, ack 109, win 501, length 164
20:32:36.174033 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 202712:202876, ack 109, win 501, length 164
20:32:36.174086 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 202876:203040, ack 109, win 501, length 164
20:32:36.174137 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 203040:203204, ack 109, win 501, length 164
20:32:36.174190 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 203204:203368, ack 109, win 501, length 164
20:32:36.174243 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 203368:203532, ack 109, win 501, length 164
20:32:36.174309 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 203532:203696, ack 109, win 501, length 164
20:32:36.174385 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 203696:203860, ack 109, win 501, length 164
20:32:36.174624 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 203860:204024, ack 109, win 501, length 164
20:32:36.175106 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 196772, win 512, length 0
20:32:36.175142 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 204024:204188, ack 109, win 501, length 164
20:32:36.175163 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 197592, win 509, length 0
20:32:36.175263 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 204188:204568, ack 109, win 501, length 380
20:32:36.175310 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 204568:204732, ack 109, win 501, length 164
20:32:36.175358 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 204732:204896, ack 109, win 501, length 164
20:32:36.175368 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 200104, win 512, length 0
20:32:36.175419 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 204896:205172, ack 109, win 501, length 276
20:32:36.176086 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 205172:205336, ack 109, win 501, length 164
20:32:36.176174 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 205336:205500, ack 109, win 501, length 164
20:32:36.176227 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 205500:205664, ack 109, win 501, length 164
20:32:36.176277 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 205664:205828, ack 109, win 501, length 164
20:32:36.176333 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 205828:205992, ack 109, win 501, length 164
20:32:36.176381 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 205992:206156, ack 109, win 501, length 164
20:32:36.176435 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 206156:206320, ack 109, win 501, length 164
20:32:36.176485 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 206320:206484, ack 109, win 501, length 164
20:32:36.176524 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 206484:206648, ack 109, win 501, length 164
20:32:36.176560 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 206648:206812, ack 109, win 501, length 164
20:32:36.176628 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 206812:206976, ack 109, win 501, length 164
20:32:36.176670 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 206976:207140, ack 109, win 501, length 164
20:32:36.176707 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 207140:207304, ack 109, win 501, length 164
20:32:36.176744 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 207304:207468, ack 109, win 501, length 164
20:32:36.176780 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 207468:207632, ack 109, win 501, length 164
20:32:36.176817 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 207632:207796, ack 109, win 501, length 164
20:32:36.176854 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 207796:207960, ack 109, win 501, length 164
20:32:36.176886 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 202876, win 512, length 0
20:32:36.176926 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 207960:208236, ack 109, win 501, length 276
20:32:36.176962 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 208236:208400, ack 109, win 501, length 164
20:32:36.177001 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 208400:208564, ack 109, win 501, length 164
20:32:36.177068 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 208564:208728, ack 109, win 501, length 164
20:32:36.177123 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 208728:208892, ack 109, win 501, length 164
20:32:36.177169 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 204188, win 512, length 0
20:32:36.177201 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 208892:209056, ack 109, win 501, length 164
20:32:36.177237 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 209056:209204, ack 109, win 501, length 148
20:32:36.177270 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 209204:209368, ack 109, win 501, length 164
20:32:36.177304 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 209368:209532, ack 109, win 501, length 164
20:32:36.177337 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 209532:209696, ack 109, win 501, length 164
